date,regime,prob_calm,prob_turbulent,allocation,market_return,strategy_return,cum_market,cum_strategy
2008-09-02,Calm,0.47201172551186105,0.103733605683375,0.8,-0.006211932610839188,-0.004969546088671351,0.9937880673891608,0.9950304539113286
2008-09-03,Moderate,0.29361665815963967,0.28977304289424305,0.8,-0.0008593041347347841,-0.0006874433077878273,0.9929341011938032,0.9943464268847422
2008-09-04,Calm,0.3960077025050038,0.38141850861185456,0.8,-0.030106226126915492,-0.024084980901532396,0.9630406026141369,0.9703976121837161
2008-09-05,Moderate,0.0723325904290344,0.39619677533605663,0.8,0.003144313472368765,0.002515450777895012,0.9660687041553747,0.9728385996121511
2008-09-08,Moderate,0.09512444492036523,0.26453006685038166,0.8,0.020655946521306312,0.01652475721704505,0.9860237676443159,0.988914521282112
2008-09-09,Moderate,0.17309214313953097,0.2560391824182135,0.8,-0.029687554014874884,-0.02375004321189991,0.9567511337824248,0.9654277586687865
2008-09-10,Moderate,0.0674005215587528,0.35935157476453294,0.55,0.004058153212775473,0.0020569842670265103,0.9606337764698105,0.967413628379319
2008-09-11,Moderate,0.07980014925765896,0.30898380734023767,0.5,0.014468085761289773,0.007199042880644886,0.9745323083329674,0.9743780805733421
2008-09-12,Moderate,0.08886273448897372,0.39278240808063214,0.5,0.0046212829502716435,0.0023106414751358217,0.9790358978739555,0.9766295189787779
2008-09-15,Turbulent,0.1623817027199072,0.6407570196713885,0.5,-0.04758577342182091,-0.023792886710910455,0.9324477174658965,0.9533926834751848
2008-09-16,Turbulent,0.03755650607593107,0.8349262436513436,0.25,0.01673797395800336,0.00400949348950084,0.9480550030780404,0.9572153052325162
2008-09-17,Turbulent,0.0965546498534239,0.7753039110469567,0.0,-0.044963550875817715,-0.000175,0.9054270837140673,0.9570477925541004
2008-09-18,Turbulent,0.039814037823400775,0.8995758614959358,0.0,0.02967188199356041,0.0,0.9322928092958047,0.9570477925541004
2008-09-19,Turbulent,0.04275540097143576,0.9025256475373734,0.0,0.039714119656691915,0.0,0.9693179974792517,0.9570477925541004
2008-09-22,Turbulent,0.0708311078447986,0.8736441087768559,0.0,-0.02263959632596224,-0.0,0.9473730293048314,0.9570477925541004
2008-09-23,Moderate,0.07190815565003007,0.4633086469379465,0.0,-0.022751855694843504,-0.0,0.9258185348529011,0.9570477925541004
2008-09-24,Moderate,0.09005675914424575,0.4520200622174995,0.0,0.003205610745897758,0.0,0.9287863486969768,0.9570477925541004
2008-09-25,Turbulent,0.04460604312565284,0.48479064948433537,0.0,0.015639641271277593,0.0,0.9433122340082573,0.9570477925541004
2008-09-26,Turbulent,0.051567686875477046,0.7387417648161279,0.0,0.0004963088552645267,0.0,0.9437804082232749,0.9570477925541004
2008-09-29,Turbulent,0.04366665061762939,0.9064441915078972,0.0,-0.07836179920706565,-0.0,0.8698240773785202,0.9570477925541004
2008-09-30,Turbulent,0.034469061260355295,0.9288730869915309,0.0,0.04139038187569888,0.0,0.9058264281058946,0.9570477925541004
2008-10-01,Turbulent,0.05227730924000722,0.9018886529229047,0.0,0.0006029888661960303,0.0,0.9063726313567486,0.9570477925541004
2008-10-02,Turbulent,0.03399237168580435,0.909352838822299,0.0,-0.036273795324459956,-0.0,0.8734950560392217,0.9570477925541004
2008-10-03,Turbulent,0.041325765876040754,0.7631349259380029,0.0,-0.013500629962322597,-0.0,0.8617023225137179,0.9570477925541004
2008-10-06,Turbulent,0.03967702646682256,0.9047728013484437,0.0,-0.05093322614495388,-0.0,0.8178130432514947,0.9570477925541004
2008-10-07,Turbulent,0.049806100687432686,0.9063197020411661,0.0,-0.04478611028783541,-0.0,0.781186378101603,0.9570477925541004
2008-10-08,Turbulent,0.037657535926978514,0.9189823090119339,0.0,-0.02519254468736898,-0.0,0.7615063053621144,0.9570477925541004
2008-10-09,Turbulent,0.11896871379669141,0.7655388591022546,0.0,-0.06983903560502003,-0.0,0.7083234393884824,0.9570477925541004
2008-10-10,Turbulent,0.2734144747336422,0.6753342003615943,0.0,-0.024255647680386128,-0.0,0.691142595598916,0.9570477925541004
2008-10-13,Turbulent,0.2848231111565552,0.6667144200970576,0.0,0.1451973527059418,0.0,0.7914946708221919,0.9570477925541004
2008-10-14,Turbulent,0.27519943343753633,0.6762786946747554,0.0,-0.014799699307169512,-0.0,0.7797807876907964,0.9570477925541004
2008-10-15,Turbulent,0.2962330117758753,0.5637061126128632,0.0,-0.09844744926054871,-0.0,0.703013358160256,0.9570477925541004
2008-10-16,Turbulent,0.26750628276516936,0.6659603080451433,0.0,0.04165691103188207,0.0,0.7322987230753625,0.9570477925541004
2008-10-17,Turbulent,0.27909456419865347,0.6742807305399163,0.0,-0.005971597980372612,-0.0,0.7279257294996162,0.9570477925541004
2008-10-20,Turbulent,0.2881756072255929,0.6653885098097466,0.0,0.06007923530964243,0.0,0.7716589506901668,0.9570477925541004
2008-10-21,Turbulent,0.2794357255606157,0.4733831827046442,0.0,-0.029855199297747603,-0.0,0.748620918927421,0.9570477925541004
2008-10-22,Turbulent,0.2655102591858012,0.6505875407104529,0.0,-0.0544549925579515,-0.0,0.7078547723585015,0.9570477925541004
2008-10-23,Turbulent,0.2679724091841881,0.6853504496965542,0.0,0.011584572005430394,0.0,0.7160549669382761,0.9570477925541004
2008-10-24,Turbulent,0.27148526314209087,0.6884073304782342,0.0,-0.05071394757727654,-0.0,0.6797409928825199,0.9570477925541004
2008-10-27,Turbulent,0.26858441266239996,0.6934254353200312,0.0,-0.03550097053873602,-0.0,0.6556095279202264,0.9570477925541004
2008-10-28,Turbulent,0.2670744509320423,0.6883852531527063,0.0,0.11685499522583043,0.0,0.7322207761753534,0.9570477925541004
2008-10-29,Turbulent,0.2595064265669609,0.7079786576220061,0.0,-0.007252358589776131,-0.0,0.7269104485396456,0.9570477925541004
2008-10-30,Turbulent,0.26768312160311186,0.6941733810032987,0.0,0.03459372558643947,0.0,0.7520569891223418,0.9570477925541004
2008-10-31,Turbulent,0.25768718790661577,0.7032022992426816,0.0,0.005503884773914169,0.0,0.756196224133888,0.9570477925541004
2008-11-03,Turbulent,0.28463878940149,0.6674931362298899,0.0,0.002891495336797112,0.0,0.7583827619896747,0.9570477925541004
2008-11-04,Turbulent,0.27386083279999346,0.4772099262791524,0.0,0.03398165504854389,0.0,0.7841538634023698,0.9570477925541004
2008-11-05,Turbulent,0.2864665665790602,0.5324332552523782,0.0,-0.042027904361541246,-0.0,0.7511975198265619,0.9570477925541004
2008-11-06,Turbulent,0.28040063590505426,0.504178882857878,0.0,-0.05541059520680325,-0.0,0.7095732181350978,0.9570477925541004
2008-11-07,Turbulent,0.2774005325681957,0.6780488361022616,0.0,0.03301774205459829,0.0,0.7330017236203337,0.9570477925541004
2008-11-10,Turbulent,0.29446920194318377,0.522413381693537,0.0,-0.013104499497605615,-0.0,0.723396102901407,0.9570477925541004
2008-11-11,Turbulent,0.2730638693674822,0.5056315744594693,0.0,-0.030875925296188433,-0.0,0.7010605788686693,0.9570477925541004
2008-11-12,Turbulent,0.26428450502464196,0.6967710160277532,0.0,-0.04400119924347845,-0.0,0.6702130726561207,0.9570477925541004
2008-11-13,Turbulent,0.2698688732916619,0.6705669420609547,0.0,0.062339778823389924,0.0,0.7119940073700478,0.9570477925541004
2008-11-14,Turbulent,0.3007829151020312,0.6091702508688591,0.0,-0.04990647165396067,-0.0,0.6764608986234446,0.9570477925541004
2008-11-17,Turbulent,0.273563921338533,0.6816475008794617,0.0,-0.013277085960809787,-0.0,0.6674794691232945,0.9570477925541004
2008-11-18,Turbulent,0.27276971829338337,0.5286620070604203,0.0,0.018837554639694165,0.0,0.6800531500937786,0.9570477925541004
2008-11-19,Turbulent,0.2777929827621516,0.562408534183516,0.0,-0.06407905486926835,-0.0,0.6364759869749006,0.9570477925541004
2008-11-20,Turbulent,0.26638581137162604,0.6847132831219115,0.0,-0.07423307052533357,-0.0,0.5892284201461115,0.9570477925541004
2008-11-21,Turbulent,0.2622557947058607,0.7026402126783076,0.0,0.05394301606972962,0.0,0.6210131782827947,0.9570477925541004
2008-11-24,Turbulent,0.2745545442847432,0.6839296379698474,0.0,0.06929035027012653,0.0,0.664043398928374,0.9570477925541004
2008-11-25,Turbulent,0.2651605855209898,0.7001147151121103,0.0,0.007409119832978206,0.0,0.6689633760453325,0.9570477925541004
2008-11-26,Turbulent,0.28070134199153013,0.666817986617607,0.0,0.03864168143821445,0.0,0.6948132457163088,0.9570477925541004
2008-11-28,Calm,0.4965976349177613,0.44963888465527213,0.0,0.012588718714979352,0.0,0.7035600542260732,0.9570477925541004
2008-12-01,Turbulent,0.27997919903021923,0.6588477366177723,0.0,-0.08857870100347753,-0.0,0.6412396185447914,0.9570477925541004
2008-12-02,Turbulent,0.2526766573335198,0.713903139548143,0.0,0.03848527682655578,0.0,0.6659179027766428,0.9570477925541004
2008-12-03,Turbulent,0.2714060945010745,0.5702281409959958,0.0,0.02404088894995704,0.0,0.6819271611270843,0.9570477925541004
2008-12-04,Turbulent,0.2663817452443774,0.6887319125566079,0.0,-0.02313273850766029,-0.0,0.6661523184274604,0.9570477925541004
2008-12-05,Turbulent,0.2800302848781387,0.5137052570190475,0.0,0.03083193014083374,0.0,0.6866910801723702,0.9570477925541004
2008-12-08,Turbulent,0.2635366090187502,0.6373359241786473,0.0,0.034914220351984104,0.0,0.7106663638592503,0.9570477925541004
2008-12-09,Turbulent,0.2642134189199481,0.6103828367414217,0.0,-0.01648365047523037,-0.0,0.6989519879128915,0.9570477925541004
2008-12-10,Turbulent,0.35754008787513053,0.4660217589018905,0.0,0.006815979253814719,0.0,0.7037160301619183,0.9570477925541004
2008-12-11,Turbulent,0.2512019063986519,0.6415556780588441,0.0,-0.02408146119774579,-0.0,0.6867695198873424,0.9570477925541004
2008-12-12,Turbulent,0.3229121261351969,0.534175697632608,0.0,0.011939524873143093,0.0,0.6949692216521538,0.9570477925541004
2008-12-15,Turbulent,0.34750510706036314,0.35594034027976557,0.0,-0.013933985162185247,-0.0,0.6852855308294773,0.9570477925541004
2008-12-16,Turbulent,0.27318572371440825,0.4766893237561746,0.0,0.04706513431912396,0.0,0.7175385863849189,0.9570477925541004
2008-12-17,Turbulent,0.3406033490836739,0.3464076515200818,0.0,-0.009686126373626425,-0.0,0.7105884169592412,0.9570477925541004
2008-12-18,Turbulent,0.24508258765779675,0.6048233533599101,0.0,-0.018683720127027126,-0.0,0.6973119818512675,0.9570477925541004
2008-12-19,Turbulent,0.3662417870643763,0.3886398524730654,0.0,-0.004301426356654869,-0.0,0.6943125457137213,0.9570477925541004
2008-12-22,Turbulent,0.3114364694704617,0.5111028539873991,0.0,-0.012812862879299058,-0.0,0.6854164142701142,0.9570477925541004
2008-12-23,Calm,0.3739286537967401,0.3217089985616158,0.0,-0.010337973524951805,-0.0,0.6783305975258224,0.9570477925541004
2008-12-24,Calm,0.5927374401957086,0.29061252723000364,0.0,0.005803010409274778,0.0,0.6822669570441943,0.9570477925541004
2008-12-26,Calm,0.39927741448991966,0.2682756651622297,0.0,0.005769288994692756,0.0,0.6862031522909119,0.9570477925541004
2008-12-29,Calm,0.5942078724998319,0.27368278543427904,0.0,-0.002868217309429655,-0.0,0.6842349725317259,0.9570477925541004
