period,start,end,n_days,cumulative_return,max_drawdown,annualized_vol
financial_crisis,2007-10-09,2009-03-09,356,-0.22451801444440733,-0.2284441949320074,0.11573667751366995
covid,2020-02-19,2020-03-23,24,-0.16686387818155157,-0.1708282601836626,0.2957179572798121
