cost_bps,sharpe,cagr,max_dd,annual_turnover,total_cost,cumulative_return,strategy
0,0.67231959744914,0.06520251424493106,-0.28968135489155555,20.017831726845404,0.0,2.5727297236930977,binary_regime
2,0.632942102343602,0.0609475630645433,-0.29351572015160576,20.017831726845404,0.059894623500164425,2.4231996291745865,binary_regime
5,0.5738675047073425,0.05459674167178585,-0.2992287099404116,20.017831726845404,0.14973655875041103,2.2150332496014253,binary_regime
10,0.47539315162424645,0.04409576875382881,-0.3086484505127064,20.017831726845404,0.29947311750082206,1.9070468939191596,binary_regime
15,0.37690702267118964,0.03369856777963065,-0.3179422728844643,20.017831726845404,0.44920967625123315,1.6418653254832922,binary_regime
20,0.2784196044530605,0.0234041210391982,-0.3271118509101756,20.017831726845404,0.5989462350016441,1.4135420257282625,binary_regime
30,0.08148282382913011,0.00311946884828207,-0.34535045471123504,20.017831726845404,0.8984193525024663,1.0476982397169763,binary_regime
50,-0.3119458649550986,-0.03626047621881856,-0.49974562896546504,20.017831726845404,1.4973655875041105,0.5754817731689972,binary_regime
0,0.6156103946461703,0.047925747603265956,-0.23399428844476666,20.010178402085337,0.0,2.0144240633192503,proportional_regime
2,0.5664818035849264,0.043741167598286834,-0.2372774290341907,20.010178402085337,0.059871724266556944,1.8973803166183818,proportional_regime
5,0.4927774734066345,0.03749538909757266,-0.2421759333558794,20.010178402085337,0.14967931066639234,1.7344359114529744,proportional_regime
10,0.36991546099942885,0.027168125826275036,-0.25158238457789783,20.010178402085337,0.2993586213327847,1.4933480827737609,proportional_regime
15,0.24704134132689845,0.01694294589218348,-0.2616908780602064,20.010178402085337,0.4490379319991771,1.2857581179362219,proportional_regime
20,0.12417210126403223,0.0068188472604591155,-0.2716634827310601,20.010178402085337,0.5987172426655694,1.1070135458936106,proportional_regime
30,-0.12148384807950881,-0.013130065495263965,-0.2912222277342892,20.010178402085337,0.8980758639983542,0.8205906299699122,proportional_regime
50,-0.6119921797199979,-0.05185793233610003,-0.5681775217919349,20.010178402085337,1.4967931066639233,0.45083638806576426,proportional_regime
0,0.5994113137228304,0.030020428927022502,-0.10158831095187593,17.708642217014226,0.0,1.5453161240798101,vol_targeted
2,0.5307541281469151,0.02637927985886246,-0.10524268403900883,17.708642217014226,0.052114004238641855,1.4668554527701734,vol_targeted
5,0.42774451404119956,0.020941472560805696,-0.11069652574427691,17.708642217014226,0.13028501059660463,1.3565662878736493,vol_targeted
10,0.2560348260540831,0.01194186836612321,-0.11971284281072181,17.708642217014226,0.26057002119320927,1.1908593064631319,vol_targeted
15,0.08435080512585372,0.003020928628590047,-0.13181724134372552,17.708642217014226,0.39085503178981396,1.0453834966336617,vol_targeted
20,-0.08723909557343508,-0.005822028456320738,-0.15382612539957374,17.708642217014226,0.5211400423864185,0.9176700825660601,vol_targeted
30,-0.429864050349574,-0.023276692638819485,-0.3173174015505251,17.708642217014226,0.7817100635796279,0.7071241730047094,vol_targeted
50,-1.1110154599611117,-0.05727958427326929,-0.5853945094034869,17.708642217014226,1.3028501059660464,0.4198197378123065,vol_targeted
0,0.7777199591487476,0.07775715451647658,-0.3121113504756796,9.638832891246684,0.0,3.065654480744632,regime_momentum
2,0.759090791291666,0.07568297215063313,-0.31351273108018685,9.638832891246684,0.02884,2.9785650894020574,regime_momentum
5,0.731132185095053,0.07257900522750904,-0.3156095726843673,9.638832891246684,0.0721,2.852540802183521,regime_momentum
10,0.6844980595246497,0.06742515184109976,-0.3190904090373997,9.638832891246684,0.1442,2.6542203670627704,regime_momentum
15,0.6378235280627335,0.06229548308843791,-0.3225539439356785,9.638832891246684,0.2163,2.469667810404589,regime_momentum
20,0.5911145561452044,0.05718988819783877,-0.32600026138009064,9.638832891246684,0.2884,2.2979287340909678,regime_momentum
30,0.49761722887178783,0.04705047938871254,-0.3342069321427208,9.638832891246684,0.4326,1.9893991758376153,regime_momentum
50,0.3104730724704172,0.027055728836840043,-0.3529803673750955,9.638832891246684,0.7210000000000001,1.4909053086012105,regime_momentum
0,0.6771065531248724,0.07501761271551755,-0.20676909615915262,6.081145584725537,0.0,2.9519684369660233,sma_200
2,0.6666875202049349,0.07371071695340947,-0.21024604966022875,6.081145584725537,0.0182,2.8987195625175572,sma_200
5,0.6510391835496571,0.07175286253598001,-0.215434215726929,6.081145584725537,0.0455,2.820622546279407,sma_200
10,0.6249104137131712,0.06849640074832042,-0.22400893690053658,6.081145584725537,0.091,2.6950594158674006,sma_200
15,0.598728819120951,0.06524821044342266,-0.2324941582921246,6.081145584725537,0.1365,2.5750271537783402,sma_200
20,0.5725030121154041,0.06200827473822823,-0.24089077002355508,6.081145584725537,0.182,2.4602847222918447,sma_200
30,0.5199533098228318,0.055553099724829025,-0.25742168299753176,6.081145584725537,0.273,2.245756715123869,sma_200
50,0.41470309434610403,0.0427410649257467,-0.28945843362324886,6.081145584725537,0.455,1.8706735133208188,sma_200
0,0.5750180608323013,0.0501896869286933,-0.18402417963405915,11.761336515513127,0.0,2.0809261808311206,vix_20
2,0.5496598569592692,0.04772302917924787,-0.1913676942174377,11.761336515513127,0.03520000000000001,2.00897373834986,vix_20
5,0.5115675839461284,0.04403298064888661,-0.21079117192599306,11.761336515513127,0.088,1.905657754983744,vix_20
10,0.44796710701242626,0.037909315279357925,-0.24214468802519507,11.761336515513127,0.176,1.7450747109978482,vix_20
15,0.3842791231097074,0.03181852989934053,-0.2722673715067875,11.761336515513127,0.264,1.5979530323861948,vix_20
20,0.32056620933824337,0.025760464291860075,-0.3012069601720616,11.761336515513127,0.352,1.4631701861795485,vix_20
30,0.19331449127878028,0.013741855029241412,-0.35571872860859544,11.761336515513127,0.528,1.2265887467016707,vix_20
50,-0.05879563486022393,-0.00990969828746513,-0.45245087392575467,11.761336515513127,0.8800000000000001,0.8615422263016876,vix_20
0,0.6738887835457049,0.06714873221132711,-0.23568518345749312,1.7792899787119671,0.0,2.6020163388138906,vol_managed
2,0.6704945854246752,0.06676927096350882,-0.2360392488877744,1.7792899787119671,0.005236196223066645,2.588435298135985,vol_managed
5,0.665402592545904,0.0662003216077518,-0.2365700421708571,1.7792899787119671,0.013090490557666614,2.5681961604716474,vol_managed
10,0.6569141191419668,0.06525271903027074,-0.23745388529321898,1.7792899787119671,0.026180981115333228,2.5348143455267893,vol_managed
15,0.6484234319770338,0.06430592380334477,-0.2383367139802247,1.7792899787119671,0.039271471672999846,2.501865227330204,vol_managed
20,0.6399305997587549,0.06335993525198313,-0.23921852938620514,1.7792899787119671,0.052361962230666456,2.4693432122944534,vol_managed
30,0.6229387752986375,0.06147037547870848,-0.24097912496590634,1.7792899787119671,0.07854294334599969,2.4055584770377134,vol_managed
50,0.5889324153845388,0.05770090639973735,-0.24448820739930344,1.7792899787119671,0.13090490557666618,2.2828760190452337,vol_managed
