horizon_days,ic,t_stat,n_obs
1,0.0011348465112224666,0.06965226066286781,3769
5,0.010930638973736397,0.6705614853899828,3765
10,0.018969601357811443,1.1630938138217244,3760
20,0.026770095319450175,1.6394771964476895,3750
60,-0.004920859930922119,-0.2996512711047357,3710
