regime,regime_id,mean_daily_return,annual_return,vol,sharpe,max_dd,pct_days,contribution,n_days
Calm,0,0.0007636543978928473,0.1924409082689975,0.10844774153820247,1.7745036045882716,-0.162477156181425,0.5209549071618037,1.0054232676122241,1964
Moderate,1,1.5927355338807158e-05,0.0040136935453794036,0.1332023534006661,0.03013230204203984,-0.3741921241126689,0.22015915119363394,-0.004882399889465757,830
Turbulent,2,4.587446596102255e-05,0.011560365422177683,0.13014850269730616,0.08882442120032906,-0.20744811884296066,0.25888594164456236,0.003673111948233537,976
