year,excess_return
2006,-0.06596639654327381
2007,-0.07877908964754113
2008,0.3011636439127442
2009,-0.13160815401079806
2010,-0.11960954272862868
2011,-0.018138367156579592
2012,-0.1217445488660575
2013,-0.23861028447308907
2014,-0.10905503123707037
2015,-0.04123859012062239
2016,-0.1391526756752304
2017,-0.0948575129049586
2018,0.039471507593307364
2019,-0.18950745271201683
2020,-0.14423444555158493
