strategy,max_drawdown,max_dd_duration,avg_dd_duration,median_dd_duration,n_drawdown_periods
binary_regime,-0.3575604139026062,613,16.602803738317757,4.0,214
proportional_regime,-0.16950746817398188,613,20.175141242937855,4.0,177
vol_targeted,-0.132585963813587,737,29.25,5.0,120
regime_momentum,-0.27736998852231687,471,15.891402714932127,4.0,221
regime_vol_targeted,-0.12515103079278855,616,26.082089552238806,4.0,134
buy_and_hold,-0.551894378600893,1224,17.237864077669904,4.0,206
sma_200,-0.21887490149031985,723,23.212903225806453,4.0,155
vix_20,-0.22348341171843367,1553,34.13084112149533,5.0,107
vol_managed,-0.2369229784717295,864,21.82716049382716,4.0,162
