month,month_name,annualized_excess
1,Jan,0.005186749505980766
2,Feb,-0.0019493356845727298
3,Mar,0.0012784267546944745
4,Apr,-0.01255180359045177
5,May,0.0060928753382334805
6,Jun,-0.0011434945835388367
7,Jul,-0.0036574621899728133
8,Aug,-0.0006227570100580997
9,Sep,0.0029945769950028116
10,Oct,-0.0046004066016174915
11,Nov,0.0014285296030639913
12,Dec,0.0006420919779061233
