strategy,alpha_daily,alpha_annual,alpha_tstat,alpha_pvalue,r_squared,r_squared_adj,n_obs,beta_Mkt-RF,tstat_Mkt-RF,pvalue_Mkt-RF,beta_SMB,tstat_SMB,pvalue_SMB,beta_HML,tstat_HML,pvalue_HML,beta_RMW,tstat_RMW,pvalue_RMW,beta_CMA,tstat_CMA,pvalue_CMA,beta_Mom,tstat_Mom,pvalue_Mom
binary_regime,2.18499405440464e-05,0.0055061850170996934,0.6207004343698551,0.5347967435711489,0.9160986958696933,0.9159649175479335,3770,0.5779978100826566,22.28389263261298,5.295013686498599e-110,-0.029871194548560777,-2.2947957031981736,0.02174483501392401,-0.034844941624499415,-1.5387144504438364,0.12387402295514639,0.011347884526377444,0.35096074394920523,0.7256177991856657,0.05643132819265077,2.2093484198079794,0.027150415753068494,-0.020918486762607543,-1.1831517305645012,0.23674901910776325
proportional_regime,1.6030450600371168e-05,0.004039673551293534,0.3735231604854037,0.7087591110425924,0.6788594439993991,0.678347394215715,3770,0.29240121294814697,10.850138730968766,1.991228863457341e-27,-0.0006227290549717917,-0.04392211825663696,0.9649664844927685,-0.054627302199503416,-2.426556107510813,0.015242893159600708,0.0035761402832372377,0.10491013217120929,0.9164471190283631,0.0538916059558956,2.0390300036086804,0.04144703317819858,-0.021677625801150784,-1.194914877470743,0.23212028955966113
vol_targeted,-3.382154653643125e-06,-0.0008523029727180675,-0.07147308098056537,0.9430212480191856,0.47216340601808926,0.4712928673804061,3645,0.19917652029475655,8.734183043747949,2.454234132756516e-18,0.017930941206281283,1.525341607103992,0.12717391508071527,-0.0396675709469371,-2.313081716849303,0.020718146729057946,-0.013542651969855733,-0.49901099856122955,0.6177716357779591,0.05369014703561571,2.48424408196992,0.012982678751450925,0.03781236532188398,2.436391882877405,0.014834603399794725
regime_momentum,0.0001491069085098826,0.03757494094449041,2.3779310093400756,0.017410082962299414,0.737435873997247,0.7370172227200702,3770,0.5148770432102356,13.519316301353614,1.202885104716345e-41,0.017404996612328,0.8133981585515531,0.41598981477374963,-0.0101189786575634,-0.3268935211838548,0.7437484214810195,2.7856111714338883e-05,0.0006224515680214518,0.9995033555360986,0.09166678875054544,2.5498343283856255,0.01077741202612459,0.023701696292427778,0.9031072265708812,0.36646898899132063
regime_vol_targeted,4.305128658650668e-05,0.010848924219799683,0.8073151102642121,0.4194849606519906,0.4563107221413564,0.4554140383406,3645,0.2302362895759195,7.970574874976857,1.5793793985540167e-15,0.03858743890062125,2.6756408043393036,0.007458653536454833,-0.034798375067199884,-1.566170401502363,0.11730872998791035,-0.02619108072430509,-0.7881632572931689,0.4306012179624762,0.07066879269388825,2.901786616384986,0.003710411834462095,0.05306285501304916,2.7523796670999183,0.005916388511050989
buy_and_hold,-2.844481698624504e-05,-0.0071680938805337505,-2.2879162572407217,0.022142398372055613,0.9850214376831824,0.9849975611226349,3771,0.9961628095782388,78.04470353949667,0.0,-0.12745719979199233,-10.528568619902732,6.379717960764293e-26,-0.005378983860065198,-0.267615222878879,0.7889955120813822,0.06287648151346587,4.606417911628433,4.096646733444752e-06,0.0458922480501224,1.982590068507029,0.0474132376262615,-0.014076268875093785,-2.0057506569743757,0.04488285755078831
sma_200,8.629227748287986e-05,0.021745653925685726,0.8863482317802415,0.37542990607600213,0.3789870337831641,0.37799710875731374,3771,0.36778768999472794,6.959476928100355,3.4153844323530953e-12,0.1041824099572082,3.6951853722204935,0.0002197264187384902,-0.04169458252449224,-0.9583137841788538,0.3379045551264198,0.013832600495577926,0.2182778465898973,0.827212634172534,0.20551452413090643,4.211880667364525,2.5325333059626064e-05,0.1135745815175995,3.073781923862508,0.002113638748145511
vix_20,2.3433989462886527e-05,0.0059053653446474045,0.2736085441817975,0.7843854671769667,0.2500674183336957,0.24887198913869102,3771,0.23335006337147984,6.650560792126511,2.9197836950905963e-11,0.06711018423477956,3.361382002455323,0.0007755348531933317,-0.08324556023520359,-2.7836416356326845,0.005375238789261883,-0.03524681562130779,-0.8699144667441924,0.38434714891815025,0.0509502176808162,1.2817778058264007,0.19992060192737238,0.06238239791310359,2.6552195326139687,0.007925681013179243
vol_managed,3.1689536246371277e-05,0.007985763134085562,0.633260304496446,0.5265636709650041,0.7683606750525689,0.7679851452093686,3708,0.4668997475989572,14.86020514014969,5.97419731674752e-50,-4.544465409390746e-05,-0.0026838412226847805,0.9978586070955173,-0.030064430360852323,-1.310337111778079,0.1900818180398549,-0.033224160335633496,-1.0182424774173373,0.308562737406867,0.08905823931609391,3.550723643355025,0.0003841735821046157,0.08055769697221832,3.8870410240177824,0.00010147360994751267
