ticker
MRNA
ZS
ANSS
WBA
DDOG
CRWD
ZM
DOCU
YHOO
CELG
ESRX
CA
DISH
MXIM
XLNX
ALXN
SGEN
FOX
FOXA
ATVI
SQ
UBER
LYFT
SNAP
PINS
ROKU
NET
OKTA
MDB
SPLK
COUP
ESTC
BILL
HZNP
MYOK
WOLF
CREE
SITM
ZEN
MIME
TENB
SAIL
API
PLAN
PING
SUMO
BIGC
NCNO
SBNY
SIVB
CHWY
ABNB
ZNGA
CTLT
JNPR
INFN
SGH
VRNT
IIVI
FEYE
MGLN
LHCG
SILK
RVNC
ZGNX
SAGE
