ticker
AAPL
MSFT
AMZN
GOOG
GOOGL
META
TSLA
NVDA
AVGO
COST
PEP
CSCO
ADBE
CMCSA
NFLX
INTC
AMD
TXN
QCOM
AMGN
INTU
AMAT
ISRG
BKNG
ADI
MDLZ
REGN
VRTX
LRCX
PYPL
SNPS
KLAC
PANW
CDNS
MNST
MELI
NXPI
ORLY
FTNT
CTAS
MCHP
KDP
DXCM
ADP
PAYX
KHC
ODFL
CPRT
WDAY
PCAR
LULU
FAST
EA
ROST
CTSH
BIIB
VRSK
CSGP
BKR
WBD
IDXX
DLTR
FANG
ILMN
ALGN
EBAY
SIRI
SWKS
TEAM
SBUX
GILD
TMUS
MAR
EXPE
CHKP
NTAP
AKAM
VRSN
JBHT
HSIC
HOLX
WYNN
ULTA
BMRN
TTWO
CHTR
MTCH
CRM
SHOP
TWLO
VEEV
HUBS
PCTY
PAYC
WIX
ALNY
IONS
NBIX
EXEL
TECH
BIO
IOVA
RARE
SRPT
UTHR
JAZZ
FOLD
MU
MRVL
ON
MPWR
SLAB
RMBS
DIOD
POWI
AMBA
SYNA
FIVN
QLYS
RPD
NDAQ
HBAN
FITB
ZION
CATY
TREE
LPLA
IBKR
VIRT
TSCO
POOL
FIVE
ETSY
BURL
JACK
CAKE
SHAK
WING
DPZ
IAC
TRIP
CHRW
XEL
AEP
WST
TER
KEYS
ZBRA
TRMB
GNRC
ENPH
VIAV
FFIV
CIEN
CAVM
ORCL
DELL
HPE
HPQ
LSCC
MTSI
FORM
CRUS
SMTC
CALX
LITE
MANH
EPAM
GLOB
LPSN
CYBR
PRGS
MIDD
STE
HELE
FOXF
HALO
IRTC
PODD
NVCR
TNDM
PCRX
SUPN
CORT
ACAD
PTCT
INSM
LGND
IRWD
ARWR
