Strategy,CAGR,Annual_Vol,Sharpe,Sortino,Calmar,Max_DD,Max_DD_Duration,Skewness,Kurtosis,Hit_Rate_Monthly,Profit_Factor,Turnover
sma_200,0.09741242796455385,0.10523556607619368,0.7460617123847967,0.968902971911435,0.9485537784734211,-0.102695735524165,121,-0.39185649588511706,2.332877826307437,0.5294117647058824,1.2020998603082984,4.291390728476822
vol_managed,0.0696399884159089,0.10524648645194841,0.5023231291210016,0.681644383436969,0.5630797214856033,-0.12367696039945109,299,-0.18722669815759843,4.171247006184393,0.625,1.1267423003665598,2.009625657795669
buy_and_hold,0.09366326577976491,0.17755327863288978,0.4801855289012385,0.6633094993875713,0.382355259379981,-0.24496397913199164,489,0.36190213106276703,9.237838039331994,0.6470588235294118,1.1123177922177199,0.0
binary_regime,0.029802548597817058,0.0923495368790987,0.1476345644661115,0.19314489638258472,0.23382501987082024,-0.12745662809857505,514,-0.30692519142369623,4.5510503092512575,0.6274509803921569,1.068733904489667,20.000008735392832
regime_momentum,0.02848162046522318,0.0953845152607496,0.13257367983422436,0.1640939420532257,0.2181970519744172,-0.13053164654379723,485,-0.8357122493166778,8.990987691654345,0.5882352941176471,1.0804533443851667,11.825165562913908
proportional_regime,0.0180238447889296,0.07241374380449202,0.006707764299056437,0.008579234209336341,0.1684220788588016,-0.10701592636224422,518,-0.30051920576581875,4.367804846369149,0.5686274509803921,1.0546993154842066,20.000011056957646
regime_vol_targeted,0.006592466312284939,0.05778596978184589,-0.20346921792698222,-0.24327505888075218,0.0788659351273206,-0.08359079622453103,450,-0.8546091600610326,5.315835485052107,0.5833333333333334,1.0271860527823142,20.000008251352185
vol_targeted,0.0035900393360339677,0.046490759022271455,-0.32985355660623705,-0.40164892307489386,0.06235413462844168,-0.05757500055812559,319,-0.7608035056800613,4.1959849798098965,0.5833333333333334,1.0186842843486592,17.471980868126987
